Date,#,Symbol,LTP,% Change,High,Low,Open,Qty.,Turnover,Page
2026-05-25,3,ADBLD83,1051.9,-1.69,1051.9,1051.9,1051.9,25,26297.5,4
2026-05-25,4,AHL,508.9,-1.18,518.5,504.0,505.0,19181,9698902.3,4
2026-05-25,5,AHPC,287.8,1.34,289.0,275.0,275.0,106730,30639266.2,4
2026-05-25,6,AKJCL,418.0,3.98,420.0,402.0,402.0,1451995,602014404.8,4
2026-05-25,7,AKPL,276.5,0.73,278.8,271.0,275.0,217426,59925542.2,4
2026-05-25,8,ALBSL,1148.0,2.96,1148.0,1086.0,1086.0,9899,11034813.5,4
2026-05-25,9,ALICL,455.2,0.64,459.9,452.0,459.9,8712,3954919.2,4
2026-05-25,10,ANLB,6038.0,2.32,6050.0,5733.0,5901.0,1185,6962801.4,4
2026-05-25,11,API,359.8,0.73,363.0,357.2,359.0,510631,184011702.2,4
2026-05-25,12,AVYAN,1148.0,0.79,1159.0,1082.1,1082.1,5884,6744096.0,4
2026-05-25,13,BANDIPUR,866.5,-1.07,910.0,855.0,910.0,64333,55904382.9,4
2026-05-25,14,BARUN,357.5,1.82,359.0,351.0,352.0,38509,13738793.1,4
2026-05-25,15,BBC,4815.0,0.31,4832.9,4766.1,4818.9,215,1030517.8,4
2026-05-25,16,BEDC,381.1,1.11,395.7,377.3,395.7,46312,17678587.6,4
2026-05-25,17,BFC,460.0,0.44,469.0,460.0,464.0,15835,7340566.9,4
2026-05-25,18,BGWT,671.8,1.63,674.0,665.0,665.0,1159,777066.6,4
2026-05-25,19,BHCL,593.0,4.77,604.9,566.0,566.0,121172,71536980.9,4
2026-05-25,20,BHDC,478.0,3.11,480.0,461.2,461.2,50689,24140352.9,4
2026-05-25,21,BHL,228.1,0.93,237.0,225.0,237.0,188158,43037959.0,4
2026-05-25,22,BHPL,534.8,0.94,537.8,530.0,530.1,7086,3780506.0,4
2026-05-25,23,BJHL,980.0,2.83,1000.0,945.0,952.0,16247,15910828.4,4
2026-05-25,24,BNHC,338.9,1.74,343.0,332.0,333.1,9993,3372890.8,4
2026-05-25,25,BNL,14819.0,3.0,14819.0,14818.7,14818.7,20,296377.0,4
2026-05-25,26,BNT,11700.0,0.94,11900.0,11590.0,11590.0,60,708190.0,4
2026-05-25,27,BPCL,704.0,0.72,709.0,680.0,699.0,58233,40875668.3,4
2026-05-25,28,BUNGAL,730.0,-10.32,773.3,706.0,773.3,113158,83682767.3,4
2026-05-25,29,C30MF,10.0,1.73,10.2,9.89,9.89,11600,118037.0,4
2026-05-25,30,CBBL,923.0,0.65,924.3,918.0,924.3,18301,16886155.7,4
2026-05-25,31,CFCL,509.0,1.19,510.0,496.0,510.0,5923,3007359.4,4
2026-05-25,32,CGH,804.0,0.02,814.7,795.0,799.0,35737,28620252.2,4
2026-05-25,33,CHCL,489.0,1.45,490.0,482.5,482.5,73257,35551681.5,4
2026-05-25,34,CHDC,2324.0,1.04,2328.0,2286.0,2300.0,11811,27386068.5,4
2026-05-25,35,CHL,296.0,-0.34,302.0,288.1,288.1,49410,14607178.7,4
2026-05-25,36,CIT,1772.0,0.28,1789.9,1765.0,1767.0,4996,8857074.6,4
2026-05-25,37,CITY,379.0,2.16,383.9,373.0,374.0,127419,48360339.7,4
2026-05-25,38,CKHL,695.4,3.19,725.0,658.0,658.0,8006,5568070.4,4
2026-05-25,39,CLI,456.2,0.93,459.8,452.0,452.0,20675,9435027.8,4
2026-05-25,40,CMF2,10.01,-1.28,10.25,10.0,10.0,2620,26688.0,4
2026-05-25,41,CORBL,2049.9,-0.78,2079.0,2000.0,2050.0,16617,33570389.4,4
2026-05-25,42,CREST,1244.9,-5.55,1260.0,1143.0,1252.1,22878,28093552.5,4
2026-05-25,43,CSY,9.4,-0.53,9.47,9.17,9.17,6100,57118.0,4
2026-05-25,44,CYCL,1470.0,-0.01,1485.0,1463.0,1482.0,843,1244482.7,4
2026-05-25,45,CZBIL,208.4,0.43,210.4,197.2,197.2,50741,10566359.1,4
2026-05-25,46,DDBL,855.0,0.23,870.0,853.0,859.0,7795,6671813.9,4
2026-05-25,47,DHEL,670.0,0.28,684.9,650.0,650.0,52384,35246765.1,4
2026-05-25,48,DHPL,302.5,0.17,311.0,302.5,303.0,13951,4238690.0,4
2026-05-25,49,DLBS,1314.0,3.06,1315.0,1271.0,1275.0,526,680023.0,4
2026-05-25,50,DOLTI,362.0,0.86,364.9,341.0,341.0,59866,21671954.4,4
2026-05-25,51,DORDI,283.1,2.02,287.9,277.1,277.1,60697,17172404.3,4
2026-05-25,52,EBL,711.0,0.14,719.9,710.0,719.9,34410,24478932.5,4
2026-05-25,53,EBLD85,1170.0,-2.34,1197.0,1170.0,1197.0,40,47070.0,4
2026-05-25,54,EBLD91,1082.1,-0.27,1082.1,1081.0,1081.1,125,135159.0,4
2026-05-25,55,EDBL,586.1,1.05,595.0,583.0,583.0,6117,3610452.7,4
2026-05-25,56,EHPL,402.0,1.9,402.5,395.0,395.0,28087,11234795.7,4
2026-05-25,57,ENL,902.0,0.45,912.3,887.2,912.3,653,586706.2,4
2026-05-25,58,FMDBL,799.0,1.49,799.0,792.0,792.0,14697,11702715.3,4
2026-05-25,59,FOWAD,1055.0,1.05,1068.9,1047.0,1068.9,2686,2822996.9,4
2026-05-25,60,GBBD85,1100.0,-1.79,1120.0,1100.0,1120.0,50,55020.0,4
2026-05-25,61,GBBL,421.0,0.0,425.0,420.0,421.0,36985,15600556.8,4
2026-05-25,62,GBILD86/87,1086.0,0.55,1086.0,1086.0,1086.0,25,27150.0,4
2026-05-25,63,GBIME,237.9,0.46,239.0,235.2,236.0,70596,16810612.6,4
2026-05-25,64,GBIMESY2,9.41,1.07,9.58,9.25,9.31,5000,47211.5,4
2026-05-25,65,GBLBS,781.0,0.66,788.0,766.0,788.0,3536,2768089.5,4
2026-05-25,66,GCIL,435.5,2.71,435.5,418.0,418.2,68609,29226716.6,4
2026-05-25,67,GFCL,627.3,-1.21,643.0,627.3,635.0,10256,6470835.0,4
2026-05-25,68,GHL,246.0,1.65,247.9,241.3,245.0,77898,19143845.7,4
2026-05-25,69,GIBF1,11.0,0.0,11.33,10.9,10.9,6200,69241.0,4
2026-05-25,70,GILB,1155.0,2.21,1157.0,1125.0,1125.0,992,1137601.0,4
2026-05-25,71,GLBSL,1825.0,0.88,1850.0,1805.0,1830.0,621,1138972.8,4
2026-05-25,72,GLH,276.0,0.73,279.0,274.0,274.0,58442,16196696.7,4
2026-05-25,73,GMFBS,1306.0,1.56,1315.0,1261.0,1261.0,1312,1698079.2,4
2026-05-25,74,GMFIL,474.6,1.0,479.9,466.4,479.9,2875,1355425.1,4
2026-05-25,75,GMLI,1293.0,1.82,1300.0,1261.0,1270.0,3436,4419669.4,4
2026-05-25,76,GRDBL,1109.9,-0.01,1129.9,1061.1,1061.1,16102,17700208.9,4
2026-05-25,77,GSY,10.0,0.0,10.25,9.91,9.99,73300,739123.5,4
2026-05-25,78,GUFL,541.5,1.21,544.8,520.0,520.0,9426,5084256.8,4
2026-05-25,79,GVL,499.0,1.44,500.0,492.0,492.0,18429,9156336.0,4
2026-05-25,80,H8020,11.83,-1.25,12.33,11.81,12.33,231835,2751209.1,4
2026-05-25,81,HATHY,805.7,0.84,810.9,803.0,810.9,4445,3581265.2,4
2026-05-25,82,HBL,206.0,1.48,207.0,200.8,202.0,60732,12459042.9,4
2026-05-25,83,HBLD83,1065.0,2.8,1065.0,1036.0,1036.0,45,47200.0,4
2026-05-25,84,HDHPC,232.0,0.56,236.0,230.7,230.7,252594,58949026.5,4
2026-05-25,85,HDL,1168.0,0.01,1180.0,1168.0,1180.0,27247,31898581.0,4
2026-05-25,86,HEI,535.0,-0.17,583.0,533.0,535.0,8439,4551605.8,4
2026-05-25,87,HEIP,326.0,1.88,328.9,326.0,328.9,599,196857.2,4
2026-05-25,88,HFIN,1022.1,2.21,1042.0,985.0,985.0,81719,83519163.1,4
2026-05-25,89,HHL,378.0,0.0,396.9,376.0,396.9,72116,27462377.6,4
2026-05-25,90,HIDCL,276.0,1.66,276.8,270.0,270.0,85842,23596921.9,4
2026-05-25,91,HIDCLP,209.0,0.82,210.7,207.4,209.2,196436,41141687.3,4
2026-05-25,92,HIMSTAR,910.0,-0.87,929.5,894.0,900.0,10076,9197664.6,4
2026-05-25,93,HLBSL,905.0,0.78,920.0,893.0,910.0,632,566491.8,4
2026-05-25,94,HLI,344.0,1.24,344.3,340.0,344.0,44591,15297340.6,4
2026-05-25,95,HLICF,8.96,1.01,9.12,8.9,9.1,50360,453148.6,4
2026-05-25,96,HPPL,386.0,1.31,388.0,381.0,381.3,16114,6216505.6,4
2026-05-25,97,HRL,653.8,1.93,661.0,640.5,641.0,111322,72686763.1,4
2026-05-25,98,HURJA,267.0,1.52,269.0,262.0,262.0,89844,23950239.9,4
2026-05-25,99,ICFC,635.0,0.63,639.5,629.0,631.0,7574,4804232.1,4
2026-05-25,100,ICFCD88,1145.0,-0.43,1145.0,1145.0,1145.0,25,28625.0,4
