Date,#,Symbol,LTP,% Change,High,Low,Open,Qty.,Turnover,Page
2026-05-18,2,ADBL,311.0,0.26,311.0,307.1,307.1,13470,4164139.3,4
2026-05-18,3,AHL,509.9,0.26,512.0,499.0,500.0,10257,5147318.4,4
2026-05-18,4,AHPC,278.8,-0.43,281.9,277.0,280.0,76380,21240495.8,4
2026-05-18,5,AKJCL,352.0,-0.51,371.4,348.0,371.4,133500,46837271.0,4
2026-05-18,6,AKPL,265.8,-0.78,269.0,265.7,267.9,51410,13696833.2,4
2026-05-18,7,ALBSL,1108.0,0.73,1115.0,1045.0,1045.0,1076,1183559.0,4
2026-05-18,8,ALICL,455.5,0.89,455.6,450.1,450.1,17737,8038402.6,4
2026-05-18,9,ANLB,5993.0,-0.45,5996.0,5825.0,5899.0,248,1452983.0,4
2026-05-18,10,API,349.0,0.0,353.0,347.0,349.0,176371,61656472.2,4
2026-05-18,11,AVYAN,1130.5,0.13,1139.0,1072.6,1072.6,5562,6253122.7,4
2026-05-18,12,BANDIPUR,804.9,-0.51,812.0,800.0,802.0,22371,17999810.0,4
2026-05-18,13,BARUN,345.3,-0.2,349.0,344.0,345.0,19952,6884592.0,4
2026-05-18,14,BBC,4805.0,-0.52,4888.0,4734.5,4888.0,96,460075.0,4
2026-05-18,15,BEDC,364.2,0.75,379.5,352.3,379.5,15477,5604262.0,4
2026-05-18,16,BFC,453.2,-0.2,461.0,453.2,461.0,3454,1567440.4,4
2026-05-18,17,BGWT,669.0,-3.03,700.0,632.0,690.0,10702,7014142.7,4
2026-05-18,18,BHCL,517.6,2.88,523.0,503.1,503.1,27109,14012055.3,4
2026-05-18,19,BHDC,456.3,0.29,459.5,453.1,455.0,3821,1747179.8,4
2026-05-18,20,BHL,221.0,-0.27,223.0,220.7,222.2,98573,21797971.6,4
2026-05-18,21,BHPL,515.0,-1.53,528.8,515.0,523.0,2972,1532541.1,4
2026-05-18,22,BJHL,936.0,0.65,939.9,910.2,930.0,5046,4709483.8,4
2026-05-18,23,BNHC,322.0,-0.95,326.0,321.8,321.8,2038,658159.4,4
2026-05-18,24,BNL,14742.1,-3.0,14742.1,14742.1,14742.1,10,147421.0,4
2026-05-18,25,BNT,11750.1,-2.48,11750.1,11750.1,11750.1,10,117501.0,4
2026-05-18,26,BOKD86,1080.0,0.86,1080.0,1080.0,1080.0,55,59400.0,4
2026-05-18,27,BPCL,709.0,1.88,730.0,686.0,730.0,76071,53615690.4,4
2026-05-18,28,BUNGAL,627.1,6.32,631.5,589.0,590.0,76742,47405125.8,4
2026-05-18,29,C30MF,9.9,-1.49,9.9,9.85,9.85,300,2965.0,4
2026-05-18,30,CBBL,912.5,0.61,917.9,907.0,907.0,10523,9602543.3,4
2026-05-18,31,CFCL,497.0,0.61,501.0,489.0,501.0,3520,1725492.4,4
2026-05-18,32,CGH,799.0,0.13,807.0,796.3,799.0,5856,4677394.9,4
2026-05-18,33,CHCL,480.0,0.84,480.0,474.0,476.0,26220,12550381.6,4
2026-05-18,34,CHDC,2252.1,-0.31,2269.0,2250.0,2250.0,6066,13679919.8,4
2026-05-18,35,CHL,290.8,0.28,292.0,284.1,289.0,5599,1602311.0,4
2026-05-18,36,CIT,1768.5,0.31,1768.5,1755.0,1763.0,6027,10616926.0,4
2026-05-18,37,CITY,395.0,-0.5,404.0,377.2,377.2,12766,5080361.5,4
2026-05-18,38,CKHL,664.0,2.79,665.0,640.1,640.1,1540,1014703.0,4
2026-05-18,39,CLI,451.6,-0.75,455.9,451.1,453.0,16397,7426155.7,4
2026-05-18,40,CMF2,9.96,1.12,10.0,9.72,9.72,2600,25433.6,4
2026-05-18,41,CORBL,2013.0,0.1,2065.8,2000.0,2065.8,3896,7827683.6,4
2026-05-18,42,CREST,1129.9,-0.69,1171.0,1110.1,1130.0,4243,4742798.6,4
2026-05-18,43,CSY,9.34,0.43,9.44,9.15,9.15,2930,27206.1,4
2026-05-18,44,CYCL,1474.9,0.6,1498.0,1457.0,1457.0,437,641349.1,4
2026-05-18,45,CZBIL,204.5,0.2,206.6,203.1,206.0,21744,4440745.9,4
2026-05-18,46,DDBL,846.0,0.18,857.0,840.0,840.0,7412,6253620.1,4
2026-05-18,47,DHEL,603.2,2.59,607.5,572.0,572.0,23069,13875155.4,4
2026-05-18,48,DHPL,298.0,0.34,299.9,292.1,292.1,685,202438.9,4
2026-05-18,49,DLBS,1280.0,-2.66,1320.0,1280.0,1315.0,475,613714.0,4
2026-05-18,50,DOLTI,347.0,0.29,354.0,343.4,345.0,33401,11569939.4,4
2026-05-18,51,DORDI,271.5,0.0,273.0,270.1,272.0,9308,2529305.3,4
2026-05-18,52,EBL,705.5,0.23,711.5,702.5,711.5,15615,10998034.6,4
2026-05-18,53,EBLD86,1072.1,-0.73,1072.1,1072.1,1072.1,25,26802.5,4
2026-05-18,54,EBLD91,1095.0,0.09,1095.0,1066.2,1066.2,117,126464.9,4
2026-05-18,55,EBLEB89,1055.2,0.2,1055.3,1055.2,1055.3,100,105522.6,4
2026-05-18,56,EDBL,579.9,0.0,579.9,573.2,574.0,891,511403.7,4
2026-05-18,57,EHPL,382.0,0.79,383.9,377.2,382.0,32434,12299742.5,4
2026-05-18,58,ENL,890.0,0.0,896.0,844.1,870.1,1516,1304646.5,4
2026-05-18,59,FMDBL,797.0,0.13,805.0,792.1,797.0,7596,6056070.0,4
2026-05-18,60,FOWAD,1043.0,-1.51,1061.0,1041.1,1060.0,3612,3776806.2,4
2026-05-18,61,GBBD85,1076.0,-0.01,1076.1,1076.0,1076.1,50,53802.5,4
2026-05-18,62,GBBL,415.0,0.0,417.0,410.3,412.0,25830,10732966.7,4
2026-05-18,63,GBILD86/87,1085.0,0.0,1085.0,1085.0,1085.0,25,27125.0,4
2026-05-18,64,GBIME,237.0,1.2,237.0,232.3,234.2,70520,16590492.2,4
2026-05-18,65,GBIMESY2,9.41,-2.28,9.42,9.35,9.35,6660,62671.6,4
2026-05-18,66,GBLBS,765.0,-1.03,778.0,761.3,773.0,1633,1249154.5,4
2026-05-18,67,GCIL,415.9,-0.26,417.1,412.1,412.1,4018,1665916.2,4
2026-05-18,68,GFCL,627.9,0.34,629.9,619.0,620.0,3414,2119693.0,4
2026-05-18,69,GHL,235.2,0.04,237.0,233.0,233.0,29121,6839223.1,4
2026-05-18,70,GIBF1,10.68,0.19,10.68,10.65,10.65,1450,15481.0,4
2026-05-18,71,GILB,1120.0,0.0,1144.8,1120.0,1120.1,1289,1454862.0,4
2026-05-18,72,GLBSL,1782.1,-0.44,1790.0,1770.0,1790.0,275,489674.2,4
2026-05-18,73,GLH,265.2,-0.26,268.0,265.0,265.0,16324,4348882.1,4
2026-05-18,74,GMFBS,1296.0,-2.89,1326.0,1257.1,1295.6,1298,1681852.0,4
2026-05-18,75,GMFIL,457.0,1.02,459.0,449.6,449.6,3042,1378885.8,4
2026-05-18,76,GMLI,1254.1,-1.95,1295.0,1242.0,1242.0,1232,1563632.2,4
2026-05-18,77,GRDBL,1031.0,0.67,1040.5,1000.0,1024.0,4522,4651663.5,4
2026-05-18,78,GSY,9.95,0.51,9.95,9.89,9.89,5000,49500.0,4
2026-05-18,79,GUFL,520.0,-0.02,524.0,519.0,520.0,4234,2204124.1,4
2026-05-18,80,GVL,493.9,1.56,495.0,481.5,486.0,27588,13517826.2,4
2026-05-18,81,H8020,11.9,2.06,11.9,11.65,11.65,1990,23458.0,4
2026-05-18,82,HATHY,781.6,-1.09,786.1,772.1,786.1,8499,6604009.2,4
2026-05-18,83,HBL,203.9,0.0,205.0,202.0,203.9,21361,4330400.4,4
2026-05-18,84,HBLD86,1156.0,-2.78,1156.0,1156.0,1156.0,15,17340.0,4
2026-05-18,85,HDHPC,221.0,-0.23,225.0,214.0,214.0,80139,17716935.1,4
2026-05-18,86,HDL,1155.0,-0.26,1160.0,1151.0,1151.0,30376,35062009.2,4
2026-05-18,87,HEI,530.0,-0.38,540.0,522.0,539.9,1980,1045844.0,4
2026-05-18,88,HEIP,313.0,-2.19,313.0,313.0,313.0,103,32239.0,4
2026-05-18,89,HFIN,975.0,-1.03,997.0,966.0,966.0,25347,24868242.6,4
2026-05-18,90,HHL,367.0,-0.27,375.0,366.0,375.0,23216,8541657.2,4
2026-05-18,91,HIDCL,268.4,0.52,271.0,265.5,270.0,52363,13991690.1,4
2026-05-18,92,HIDCLP,205.0,-0.77,206.5,204.1,206.5,47857,9805158.6,4
2026-05-18,93,HIMSTAR,880.0,0.23,884.0,856.0,856.0,3151,2723446.6,4
2026-05-18,94,HLBSL,877.3,-1.43,890.0,877.1,890.0,596,524281.0,4
2026-05-18,95,HLI,337.0,-0.15,341.9,337.0,337.3,16419,5554306.5,4
2026-05-18,96,HLICF,9.01,0.11,9.1,8.9,8.9,1650,14856.0,4
2026-05-18,97,HPPL,373.9,0.78,375.0,365.0,365.0,17437,6511802.9,4
2026-05-18,98,HRL,636.9,0.94,644.0,631.0,631.0,44963,28637987.4,4
2026-05-18,99,HURJA,252.5,-0.16,257.0,252.0,255.0,20798,5270217.5,4
2026-05-18,100,ICFC,624.0,0.65,629.0,614.3,620.0,24412,15025256.7,4
